stop_id,stop_name,stop_lat,stop_lon,location_type
740011056,Haggård (Norrtälje),59.797649,18.657590,
740011060,Drevergatan,59.359078,18.093438,
740011066,Lohärads vägskäl östra (Norrtälje),59.812732,18.649161,
740011071,Svanberga affär,59.838760,18.660321,
740011074,Jersö vägskäl (Norrtälje),59.854478,18.673130,
740011079,Karls kyrkoruin (Norrtälje),59.858445,18.681079,
740011080,Sebende (Norrtälje),59.860565,18.687226,
740011082,Galltorp (Norrtälje),59.872196,18.698254,
740011090,Norrtälje Vigelsjövägen,59.761918,18.690239,
740011116,Edsbro Skogsvägen,59.894547,18.483503,
740011118,Gärsta (Edsbro) (Norrtälje),59.894059,18.474348,
740011120,Billsta (Edsbro) (Norrtälje),59.893990,18.458220,
740011121,Edsbro Idrottsplatsen,59.894864,18.451784,
740011134,Rösa trafikplats,59.732266,18.565016,
740011139,Sigtuna säteri,59.658453,17.677857,
740011173,Sigtuna Läroverket,59.614205,17.702382,
740011177,Märsta Fältvägen,59.627252,17.875037,
740011182,Mörby vägskäl (väg 77),59.735291,18.252441,
740011188,Kista Kistavägen,59.401037,17.954769,
740011190,Kista Jan Stenbecks torg,59.402397,17.947969,
740011193,Kista Viderögatan,59.404083,17.957885,
740011196,Penningby slott,59.680542,18.682972,
740011200,Kista Torshamnsgatan,59.407121,17.952811,
740011230,Riala kyrka,59.630608,18.519887,
740011254,Sigtuna Klockbacken,59.615968,17.717597,
740011257,Sigtuna Prästgårdsängarna,59.622029,17.706474,
740011258,Sigtuna Skördegatan,59.624909,17.704138,
740011278,Murarbo (Sigtuna),59.652862,17.698372,
740011283,Fridsberg (Sigtuna),59.664832,17.691380,
740011286,Haga kyrka (Sigtuna),59.672052,17.696259,
740011288,Skråmsta (Sigtuna),59.682541,17.701076,
740011291,Pilsbo vägskäl (Sigtuna),59.689649,17.648323,
740011302,Rörvik Norra,59.902906,18.893288,
740011321,Hall,59.737138,18.291355,
740011328,Simpnäs lanthandel,59.872857,19.060103,
740011354,Simpnäs brygga,59.869860,19.077354,
740011379,Finsta västra,59.737292,18.486709,
740011381,Rimbo Västertorp,59.740984,18.345226,
740011385,Skebobruk södra,59.964310,18.607120,
740011388,Rimbo Hagen,59.742977,18.356372,
740011396,Norrtälje Campus Roslagen,59.748626,18.687331,
740011397,Norrtälje Gustavslund,59.753522,18.693431,
740011413,Upplands Väsby stn västra,59.521710,17.898875,
740011415,Sigridsholmsvägen (Sigtuna),59.670991,18.046565,
740011454,Solö brygga,59.676696,18.764637,
740011461,Spillersboda brygga,59.700522,18.855747,
740011464,Sorunda kyrka,59.009177,17.813858,
740011580,Söderby nedre (Rörvik),59.869925,18.825812,
740011582,Söderhall Kårsta vägskäl,59.648134,18.333218,
740011585,Södertälje sjukhus,59.199737,17.633862,
740011606,Tekniska Högskolan T-bana,59.345826,18.071712,
740011704,Unungehöjden södra,59.904872,18.579151,
740011774,Vettershaga vägskäl,59.595517,18.670917,
